Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,Type_L,Type_M
-0.9517348924093002,-0.9470204388772892,0.16015147110679054,0.2623674544195569,-1.6968716394289747,0,0,0,0,0,0,1
-0.9016730516988181,-0.87953394483072,-0.8008509682089546,0.631726415450713,-1.649706343249162,0,0,0,0,0,1,0
-0.9517348924093002,-1.014506932923897,-0.19602425815009403,0.958872923792594,-1.6182628124626204,0,0,0,0,0,1,0
-0.9016730516988181,-0.9470204388772892,-0.6328435487481601,-0.0858852802669613,-1.5868192816760787,0,0,0,0,0,1,0
-0.9016730516988181,-0.87953394483072,-0.8008509682089546,-0.03311971440536759,-1.555375750889537,0,0,0,0,0,1,0
-0.9517348924093002,-0.9470204388772892,-0.6866059229756143,0.16738943586868837,-1.5239322201029954,0,0,0,0,0,0,1
-0.9517348924093002,-0.9470204388772892,0.207193548555813,0.22015500173028207,-1.4767669239231829,0,0,0,0,0,1,0
-0.9517348924093002,-0.9470204388772892,-0.0011356515755723206,-0.012013488060729799,-1.4453233931366412,0,0,0,0,0,1,0
-0.8516112109883075,-0.87953394483072,0.9397058974048775,-1.2361746160497042,-1.4138798623500994,0,0,0,0,0,0,1
-0.7514875295673149,-0.6770744626909355,1.4370078590088295,-1.2994932950836167,-1.3667145661702869,0,0,0,0,0,0,1
-0.8015493702778255,-0.7445609567375432,1.7125400269245328,-1.7321709351486854,-1.3195492699904745,0,0,0,0,0,0,0
-0.7014256888568043,-0.609587968644328,-0.7000465165324778,0.42066415200433804,-1.2409404430241202,0,0,0,0,0,0,0
-0.7014256888568043,-0.609587968644328,-1.2645514459207476,1.138275847722013,-1.162331616057766,0,0,0,0,0,0,1
-0.7014256888568043,-0.5421014745977587,1.4437281557872614,-1.0884310316372419,-1.1151663198779536,0,0,0,0,0,0,1
-0.7014256888568043,-0.5421014745977587,3.412775111867774,-2.1859548015583914,-1.068001023698141,0,0,0,0,0,1,0
-0.7014256888568043,-0.5421014745977587,0.09966880010090443,0.8533417920694066,-1.0365574929115993,0,0,0,0,0,1,0
-0.7014256888568043,-0.5421014745977587,-1.4527197557168376,0.6633857549676696,-1.0051139621250575,0,0,0,0,0,0,1
-0.6513638481463222,-0.5421014745977587,-0.7874103746520911,0.5578546232444822,-0.9579486659452451,0,0,0,0,0,0,1
-0.6013020074358117,-0.5421014745977587,-1.4863212396089966,1.4970816955808501,-0.9107833697654325,0,0,0,0,0,0,0
-0.5512401667253296,-0.47461498055115114,0.7044955101597651,-0.8246032023292733,-0.8321745427990783,0,0,0,0,0,0,1
-0.5512401667253296,-0.47461498055115114,-1.0226207618972034,0.2518143412472388,-0.7850092466192657,0,0,0,0,0,0,0
-0.6013020074358117,-0.47461498055115114,-0.5185985035148197,0.47342971786593174,-0.7064004196529116,0,0,0,0,0,1,0
-0.5512401667253296,-0.47461498055115114,0.361760374459744,-1.0145592394310108,-0.67495688886637,0,0,0,0,0,0,1
-0.501178326014819,-0.40712848650458194,1.5512529042421699,-1.542214898046948,-0.6277915926865574,0,0,0,0,0,1,0
-0.501178326014819,-0.40712848650458194,0.22735443889110837,-0.318053770057974,-0.5963480619000157,0,0,0,0,0,0,1
-0.501178326014819,-0.3396419924579744,2.2434434724206436,-1.7954896141825976,-0.5491827657202032,0,0,0,0,0,1,0
-0.45111648530430865,-0.3396419924579744,-0.1019401032520491,-0.13865084612855502,-0.5177392349336615,0,0,0,0,0,1,0
